AA        Auto Answer
AAB       All-to-All Broadcast
AAL       Asynchronous Transfer Mode Adaption Layer
AAP       Applications Access Point [DEC]
AAS       All-to-All Scatter
AASP      ASCII Asynchronous Support Package
AAT       Average Access Time
ABC       Atanasoff-Berry Computer  (First digital calculating machine that used vacuum tubes)
ABEND     Abnormal End
ABI       Application Binary Interface
ABIOS     Advanced BIOS
ABIST     Automatic Built-In Self-Test [IBM]
ABLE      Adaptive Battery Life Extender
ABR       Available Bit Rate
ABRS      Automated Book Request System [British Library]
ABS       Address Book Synchronization [IBM]
ABS       Absolute
ABT       Abort
ABTS      ASCII Block Terminal Services
AC        Autocheck  
AC 	  Automatic Computer  
AC        Alternating Current
ACAP      Application Configuration Access Protocol
ACC       Accumulator
ACCMAIL   Accessing the Internet Via Email
ACD       Automatic Call Distribution
ACDI      Asynchronous Communications Device Interface
ACE       Access Control Entry 
ACE       Advanced Computing Environment [SCO] 
ACE       Adverse Channel Enhancements [Microcom] 
ACE       Automatic Computing Engine
ACF       Access Control Field 
ACF       Advanced Communications Function
ACH       Automated Clearing House
ACIAS     Automated Calibration Interval Analysis System
ACIS      American Committee for Interoperable Systems
ACK       Acknowledgment
ACL       Access Control List
ACM       Association for Computing Machinery
acm       Audio Compression Manager [Microsoft]
ACMS      Application Control Management System
ACP       Ancillary Control Program 
ACP       Auxilary Control Process
ACPI      Advanced Configuration and Power Interface
ACR       Allowed Cell Rate
ACROSS    Automated Cargo Release and Operations Service System
ACS       Access  
ACS 	  Access Control Set 
ACS       Acccess Control System 
ACS       Advanced Computer System [IBM] 
ACS       Anti Curl System 
ACS       Asynchronous Communication Server
ACTS      Automated Computer Time Service
ACTT      Advanced Communication and Timekeeping Technology [Seiko]
ACU       Automatic Calling Unit
A/D       Analog to Digital
ADA       Automatic Data Acquisitions 
ADA       Programming Language named after Augusta Ada Lovelace
ADB       Apple Desktop Bus
ADC       Adaptive Data Compression (protocol) [Hayes] 
ADC       Add with Carry  
ADC       Analog to Digital Converter
ADCCP     Advanced Data Communication Control Procedures
ADD       Automatic Document Detection [WordPerfect]
ADF       Automatic Document Feeder 
ADF       Automatically Defined Function
.ADF      Adapter Description File (file name extension)
ADI       AutoCad/AutoDesk Device Interface (driver)
ADL       Address Data Latch
ADLAT     Adaptive Lattice Filter
ADLC      Adaptive Lossless Data Compression [IBM] 
ADLC      Asynchronous Data Link Control
ADMACS    Apple Document Mangagement And Conrol System
ADMD      Administrative Management Domain [X.400]
.ADN      Add In Utility (file name extension) [Lotus 1-2-3] [LDC]
ADO       Active Data Objects
ADP       Automatic Data Processing
ADPCM     Adaptive Differential Pulse Code Modulation
ADR       Address
ADS       Application Development Solutions [AT&amp;T] 
ADS       Application Development System 
ADS       Automatic Distribution System
ADSC      Address Status Changed 
ADSC      Adobe Document Structuring Conventions
ADSI      Active Directory Service Interface [Microsoft] 
ADSI      Analog Display Services Interface
ADSL      Asymmetric Digital Subscriber Line
ADSP      Apple Datastream Protocol
ADSR      Attack, Decay, Sustain, Release
ADT       Abstract Data Type  
ADT       Application Data Types
ADU       Automatic Dialing Unit
AE        Above or Equal
AEB       Analog Expansion Bus [Dialogic]
AEC       Architecture, Engineering, Construction
AESA      ATM End System Address
AF        Auxiliary carry Flag
AFA       Accelerated File Access
AFC       Automatic Font Change  
AFC       Automatic Frequency Control
AFD       Automatic File Distribution
AFDW      Active Framework for Data Warehousing [Microsoft]
AFI       Authority and Format Identifier
AFII      Association for Font Information Interchange
AFIRM     Automated Fingerprint Image Reporting and Match
AFIS      Automated Fingerprint Identification System
.AFM      Adobe Font Metrics (file name extension) [Adobe Systems]
AFP       Advanced Function Presentation [IBM] 
AFP       Appletalk Filing Protocol [Macintosh]
AFS       Andrew File System (protocols)
AFTP      Anonymous File Transfer Protocol
AGA       Advanced Graphics Adapter
AGC       Automatic Gain Control
AGP       Accelerated/Advanced Graphics Port
AGRAS     Antiglare-Antireflective-Antistatic
AGU       Address-Generation Unit
AHS       Automated Highway Systems
AI        Analog Input  
AI 	  Artificial Intelligence
AIA       Applications Integration Architecture [DEC]
AIC       AIXwindows Interface Composer [IBM]
AIF       Audio Interchange Format
AIIM      Association for Information and Image Management
AIN       Advanced Intelligent Network [Bell Atlantic]
AIS       Automated Identification System [NCIC]
AISB      Association of Imaging Service Bureaus
AISP      Association of Information Systems Professionals
AIT       Advanced Intelligent Tape (drive) [Sony]
AIX       Advanced Interactive Executive [IBM]
ALC       Arithmetic and Logic Circuits 
ALC       Automatic Level Control
ALE       Address Latch Enable 
ALE       Application Linking and Embedding
ALGOL     Algorithmic Oriented Language (see IAL)
ALIBI     Adaptive Location of Internetworked Bases of Information
ALINK     Active Link [HTML]
ALIWEB    Archie Like Indexing in the Web [Internet]
ALN       Asynchronous Learning Network
ALR       Advanced Logic Research, Inc.
ALT       Alternate (mode)
ALT.      Alternate lifestyle [USENET Newsgroup Category]
ALU       Arithmetic Logic Unit
AMA       Automatic Message Accounting
AMANDDA   Automated Messaging and Directory Assistance
AMD       Active Matrix Display 
AMD       Advanced Micro Devices, Inc.
AMI       American Megatrends, Inc.
AMMA      Advanced Memory Management Architecture [Everex Systems]
AMPS      Advanced Mobile Phone Service
ANCOVA    Analysis of Covariance
ANDF      Architecture-Neutral Distribution Format
ANI       Automatic Number Identification
.ANI      Animated Cursor (file name extension) [Microsoft]
ANN       Artificial Neural Network
.ANN      Annotations (file name extension) [IBM]
ANOVA     Analysis Of Variance
ANSI      American National Standards Institute
ANX       Automotive Network Exchange [Chrysler/Ford/General Motors]
AO        Analog Output
AOCE      Apple Open Collaboration Environment
AO/DI     Always On/Dynamic ISDN
AOE       Application Operating Environment [AT&amp;T]
AOL       America Online
AOS       Add Or Subtract
AP        Adjunct Processor  
AP 	  Application Processor
A/P       Accounts Payable
APA       Adaptive Packet Assembly 
APA       All Points Addressable 
APA       Arithmetic Processing Accelerator
APAR      Authorized Program Analysis Report [IBM]
APAREN    Address Parity Enable [IBM]
APCUG     Association of PC User Groups
API       Application Program Interface
APIC      Advanced Programmable Interrupt Controller (bus) [Intel]
APIS      Advanced Passenger Information System
APL       A Programming Language (Mathematics)
APM       Advanced Power Management [IBM]
APNIC     Asia-Pacific Network Information Center [Internet]
APOP      Authenticated Post Office Protocol
.APP      Application (file name extension) [R:Base]
APPC      Advanced Program-to-Program Communications [IBM]
APPI      Advanced Peer-to-Peer Internetworking
APPLETS   Applications
APPN      Advanced Peer-to-Peer Networking [IBM]
APPS      Applications
APRP      Adaptive Pattern Recognition Processing
APS       Advanced Photo System  
APS       Advanced Printing Service [IBM]
APS       Asynchronous Protocol Specification
APSE      ADA Programming Support Environment
APT       Address Pass Through 
APT       Advanced Parallel Technology 
APT       Automatically Programmed Tools
A/R       Accounts Receivable
ARA       AppleTalk Remote Access
ARAG      Antireflective-Antiglare
ARAS      Antireflective-Antistatic
.ARC      Archive (file name extension)
ARCA      Advanced RISC Computing Architecture
ARCnet    Attached Resource Computer Network
.ARJ      Compressed File (file name extension) [Jung]
ARL       Adjusted Ring Length
ARLL      Advanced Run Length Limited
ARM       Advanced RISC Machine (processor) 
ARM       Annotated Reference Manual 
ARM       Asynchronous Response Mode
ARMA      Association of Records Managers and Administrators
ARP       Address Resolution Protocol [Novell]
ARPANET   Advanced Research Projects Agency Network
ARPL      Adjust Requested Privilege Level
ARTA      Apple Real Time Architecture
ARTIC     A Real-Time Interface Coprocessor [IBM]
